0;1;2;3;4;5;6;7;8;9;10;20_похожих
Призрак в доспехах;Фантастика;Боевик (Экшен);Киберпанк;Классика (до 2000 года);6.43;843789;Ghost in the Shell;6.3;5.5;;"Матрица;Акира;Робокоп;РобоКоп;Нирвана;Джонни Мнемоник;Виртуозность;Случайный доступ;Робокоп 2;Робокоп 3;Андроид-полицейский;Апгрейд;Призрак в доспехах 2: Невинность;Аниматрица;Матрица: Перезагрузка;Аниматрица: История одного ребенка;Алита: Боевой ангел;Матрица: Революция;Робот по имени Чаппи;Трон: Наследие"
Звездные войны: Скайуокер. Восход;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);6.055;718222;Star Wars: Episode IX - The Rise of Skywalker;6.4;6.1;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи"
Судья Дредд;Фантастика;Боевик (Экшен);Постапокалипсис;Классика (до 2000 года);6.926;437678;Dredd;7.1;6.6;;"Терминатор 2 - 3D;Терминатор;Водная жизнь;Побег из Нью-Йорка;Водный мир;Искатель воды;Терминатор 2: судный день;Завоевание планеты обезьян;Безумный Макс 3: Под куполом грома;Человек Омега;Киборг;Поле битвы: Земля;Район 37;2012;Гонка на вымирание;Люди Икс: Дни минувшего будущего;Восстание планеты обезьян;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог"
Предел риска;Фантастика;Триллер;Альтернативная реальность;Современное кино (2000–2020);6.731;503671;Margin Call;7.1;7.2;;"Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Исходный код;Хранители;Пиджак;Петля времени;Меняющие реальность;Скрижали судьбы;Вход в никуда;Без границ;Матрица времени;ARQ;Пуленепробиваемый;Круг"
Шестой элемент;Фантастика;Боевик (Экшен);Космическая;Классика (до 2000 года);5.965;23320;2001: A Space Travesty;3.5;5.3;;"Ковбой Бибоп;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Звездные войны: Эпизод 6 — Возвращение Джедая;Чужие;Пятый элемент;Вспомнить все;Звездный путь 2: Гнев Хана;Звездный путь: Первый контакт;Звездный десант;День независимости;Армагеддон;Звездный путь 7: Поколения;Звездный путь: Возмездие;Метеор – убийца;М-Агент;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов"
Человек из будущего;Фантастика;Триллер;Альтернативная реальность;Новинки (2020–2025);4.097;893509;;5;0;;"2:22;Экзистенция;Кислород;Обратимая реальность;Пятое измерение;Флешбэк;Скольжение;Разделитель;Лимб;Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Открой глаза;Исходный код;Хранители"
Оставленные;Фантастика;Триллер;Постапокалипсис;Современное кино (2000–2020);7.696;4499386;The Holdovers;7.9;8.6;;"Эпидемия;Тайна 7 сестер;Заражение;Предсказание;Вымирание;2067: Петля времени;12 обезьян;#выжить;Разлом;Бегущий по лезвию 2049;Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Исходный код;Хранители"
Матрица;Фантастика;Боевик (Экшен);Киберпанк;Классика (до 2000 года);8.499;301;The Matrix;8.7;7.7;;"Акира;Робокоп;РобоКоп;Призрак в доспехах;Нирвана;Джонни Мнемоник;Виртуозность;Случайный доступ;Робокоп 2;Робокоп 3;Андроид-полицейский;Апгрейд;Призрак в доспехах 2: Невинность;Аниматрица;Матрица: Перезагрузка;Аниматрица: История одного ребенка;Алита: Боевой ангел;Матрица: Революция;Робот по имени Чаппи;Трон: Наследие"
Аквариум;Фантастика;Драма;Альтернативная реальность;Новинки (2020–2025);6.732;421506;Fish Tank;7.3;7.6;;"00:10;Новая жизнь;Воспоминания из будущего;Добро пожаловать в рай;Параллельные миры;Райский проект;Параллельный мир;После нашей эры;После пробуждения;Страна чудес;Донни Дарко;Гаттака;Прибытие;Господин Никто;Человек с Земли;Искусственный разум;Фонтан;Ванильное небо;Феномен;Хронос"
Терминатор: Генезис;Фантастика;Боевик (Экшен);Альтернативная реальность;Современное кино (2000–2020);6.415;436225;Terminator Genisys;6.3;4.7;;"Начало;Район №9;День Доктора;Грань будущего;Эквилибриум;Дежавю;Вступление;Патруль времени;Хранитель времени;Время;Другой мир 2: Эволюция;Тихоокеанский рубеж;Мы из будущего;Районы;Вне времени;Код 8;Хроника;Телепорт;Побеждая время;Суррогаты"
Фонтан;Фантастика;Драма;Альтернативная реальность;Современное кино (2000–2020);7.444;81583;The Fountain;7.1;6;;"Донни Дарко;Прибытие;Господин Никто;Человек с Земли;Искусственный разум;Ванильное небо;Облако;Другая Земля;За гранью;Дети моря;Ева: Искусственный разум;Предчувствие;Множество;Конгресс;Жизнь за гранью;Комната желаний;Трудно быть богом;Трудно быть Богом;Источник;Индиго"
Пандорум;Фантастика;Ужасы;Космическая;Современное кино (2000–2020);7.057;422882;Pandorum;6.7;4.5;;"Жизнь;Прометей;Чужой: Завет;Ловец снов;Лайф;Последние дни на Марсе;Призраки Марса;Инопланетное похищение;Скайлайн;В плену у космоса;Чужой;Вирус;Пришельцы 2: Коридоры времени;Сквозь горизонт;Чужой 3;Спутник;Чужой 4: Воскрешение;Особь;Дальний космос;Особь 2"
Райские холмы;Фантастика;Ужасы;Альтернативная реальность;Современное кино (2000–2020);6.076;1097391;Paradise Hills;5.2;6.3;;"Виктор Франкенштейн;Мерцающий;Вивариум;Куб Зеро;Морган;Парадокс Кловерфилда;Вторжение похитителей тел;Мертвая зона;Преступления будущего;За гранью реальности;28 недель спустя;Жизнь;Монстры;Я - легенда;Я — легенда;Эпидемия. Вонгозеро;Прометей;Платформа;Пандорум;Птичий короб"
Миссия «Серенити»;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);7.243;61455;Serenity;7.8;7.2;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи;Валериан и город тысячи планет"
Назад во времени;Фантастика;Приключения;Альтернативная реальность;Классика (до 2000 года);7.018;893202;Back in Time;6.3;0;;"Назад в будущее 2;Парк Юрского периода;Назад в будущее 3;Зеркало для героя;Доктор Кто: Глубокий вдох;Аватар: Путь воды;Аватар 2: Путь воды;Патэма наоборот;Супер 8;Ловушка времени;Машина времени;Земля будущего;Лига выдающихся джентльменов;В ловушке времени;Мир будущего;Навсикая из долины ветров;Тайна третьей планеты;Звездный путь 4: Дорога домой;Черная дыра;Человек-амфибия"
Футурама: В дикую зеленую даль;Фантастика;Комедия;Космическая;Современное кино (2000–2020);7.315;376448;Futurama: Into the Wild Green Yonder;7.2;0;;"Футурама: Зверь с миллиардом спин;Эволюция;Незнайка на Луне 2;Незнайка на Луне;Случай в квадрате 36-80;Люди в черном;Интерстеллар;Доктор Кто: Мужья Ривер Сонг;Путешествие на край Вселенной;Жизнь;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Луна;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Аватар;Марсианин;Звездный путь;Планета Ка-Пэкс"
Я — легенда;Фантастика;Ужасы;Постапокалипсис;Современное кино (2000–2020);7.873;195524;I Am Legend;7.2;6.3;;"28 недель спустя;Монстры;Я - легенда;Эпидемия. Вонгозеро;Платформа;Птичий короб;Аннигиляция;Девятки;Атака Юрского периода;Противостояние;Годзилла;Остров доктора Моро;Жизнь;Прометей;Пандорум;Чужой: Завет;Виктор Франкенштейн;Ловец снов;Лайф;Мерцающий"
Звездные врата: Континуум;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);7.386;307419;Stargate: Continuum;7.4;0;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи;Валериан и город тысячи планет"
Z — значит Захария;Фантастика;Драма;Постапокалипсис;Современное кино (2000–2020);5.78;699131;Z for Zachariah;6;7;;"Облачный атлас;Дитя человеческое;Потерянное Рождество;Земля: Жизнь без людей;Гадкие лебеди;Ровер;Гольфстрим под айсбергом;Последний день Земли;Москва 2017;Пробуждение;Сталкер;Воскресение;Письма мертвого человека;Отроки во вселенной;Финч;Тихая ночь;После Чернобыля;Интерстеллар;Луна;Донни Дарко"
Дюна;Фантастика;Боевик (Экшен);Космическая;Новинки (2020–2025);7.673;409424;Dune: Part One;8;7.7;;"Во власти Луны;Вечные;Бессмертные: Война миров;Вторжение;Падение Луны;Война миров: Вторжение;Звездный рубеж;Шестой элемент;Ковбой Бибоп;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Звездные войны: Эпизод 6 — Возвращение Джедая;Чужие;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Пятый элемент;Звездный путь"
Пятый элемент;Фантастика;Боевик (Экшен);Космическая;Классика (до 2000 года);8.173;2656;The Fifth Element;7.6;6.4;;"Шестой элемент;Ковбой Бибоп;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Звездные войны: Эпизод 6 — Возвращение Джедая;Чужие;Вспомнить все;Звездный путь 2: Гнев Хана;Звездный путь: Первый контакт;Звездный десант;День независимости;Армагеддон;Звездный путь 7: Поколения;Звездный путь: Возмездие;Метеор – убийца;М-Агент;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов"
Ангар 18;Фантастика;Триллер;Космическая;Классика (до 2000 года);6.572;2450;Hangar 18;5.4;5.1;;"Штамм Андромеда;Андроид;Знаки;Поколение Вояджер;Внеземное эхо;Параграф 78: Фильм первый;12 обезьян;Открой глаза;Тринадцатый этаж;Куб;Странные дни;Хакеры;Филадельфийский эксперимент;Разлом;Сфера;Темный город;Космическая одиссея 2010;2001 год: Космическая одиссея;Шестой элемент;Ковбой Бибоп"
Предсказание;Фантастика;Триллер;Постапокалипсис;Современное кино (2000–2020);6.685;18313;;6.2;0;;"Оставленные;Эпидемия;Тайна 7 сестер;Заражение;Вымирание;2067: Петля времени;12 обезьян;#выжить;Разлом;Бегущий по лезвию 2049;Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Исходный код;Хранители"
Призраки Марса;Фантастика;Ужасы;Космическая;Современное кино (2000–2020);5.265;3849;Ghosts of Mars;4.9;3.8;;"Жизнь;Прометей;Пандорум;Чужой: Завет;Ловец снов;Лайф;Последние дни на Марсе;Инопланетное похищение;Скайлайн;В плену у космоса;Чужой;Вирус;Пришельцы 2: Коридоры времени;Сквозь горизонт;Чужой 3;Спутник;Чужой 4: Воскрешение;Особь;Дальний космос;Особь 2"
Чужой 3;Фантастика;Ужасы;Космическая;Классика (до 2000 года);6.882;2286;Alien?;6.4;5.6;;"Чужой;Вирус;Пришельцы 2: Коридоры времени;Сквозь горизонт;Чужой 4: Воскрешение;Особь;Особь 2;Пришелец;Пришельцы;Жизнь;Прометей;Пандорум;Спутник;Чужой: Завет;Ловец снов;Лайф;Дальний космос;Последние дни на Марсе;Призраки Марса;Инопланетное похищение"
Звездные войны: Последние джедаи;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);6.644;718223;Star Wars: Episode VIII - The Last Jedi;6.8;8.1;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Валериан и город тысячи планет"
Ванильное небо;Фантастика;Драма;Альтернативная реальность;Современное кино (2000–2020);7.576;870;Vanilla Sky;6.9;5.3;;"Донни Дарко;Прибытие;Господин Никто;Человек с Земли;Искусственный разум;Фонтан;Облако;Другая Земля;За гранью;Дети моря;Ева: Искусственный разум;Предчувствие;Множество;Конгресс;Жизнь за гранью;Комната желаний;Трудно быть богом;Трудно быть Богом;Источник;Индиго"
Без границ;Фантастика;Триллер;Альтернативная реальность;Современное кино (2000–2020);6.891;839742;;6.1;0;;"Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Исходный код;Хранители;Пиджак;Петля времени;Меняющие реальность;Скрижали судьбы;Предел риска;Вход в никуда;Матрица времени;ARQ;Пуленепробиваемый;Круг"
Морган;Фантастика;Ужасы;Альтернативная реальность;Современное кино (2000–2020);5.795;906340;Morgan;5.9;5;;"Виктор Франкенштейн;Мерцающий;Вивариум;Куб Зеро;Парадокс Кловерфилда;Райские холмы;Вторжение похитителей тел;Мертвая зона;Преступления будущего;За гранью реальности;28 недель спустя;Жизнь;Монстры;Я - легенда;Я — легенда;Эпидемия. Вонгозеро;Прометей;Платформа;Пандорум;Птичий короб"
Двухсотлетний человек;Фантастика;Драма;Другое;Классика (до 2000 года);8.091;7640;Bicentennial Man;6.9;4.9;;"Космическая одиссея 2010;2001 год: Космическая одиссея;Метрополис;Солярис;Контакт;Сталкер;Гаттака;Письма мертвого человека;Близкие контакты третьей степени;Феномен;Хронос;Кокон;Воспоминания;Эксперимент «За стеклом»;Бездна;Человек-амфибия;Гиперболоид инженера Гарина;Интерстеллар;Пробуждение;Луна"
Суррогаты;Фантастика;Боевик (Экшен);Альтернативная реальность;Современное кино (2000–2020);6.895;397671;Surrogates;6.3;5.4;;"Начало;Район №9;День Доктора;Грань будущего;Эквилибриум;Дежавю;Вступление;Патруль времени;Хранитель времени;Время;Другой мир 2: Эволюция;Тихоокеанский рубеж;Мы из будущего;Районы;Вне времени;Код 8;Хроника;Телепорт;Побеждая время;Люси"
Эквилибриум;Фантастика;Боевик (Экшен);Альтернативная реальность;Современное кино (2000–2020);7.883;309;Equilibrium;7.3;4.9;;"Начало;Район №9;День Доктора;Грань будущего;Дежавю;Вступление;Патруль времени;Хранитель времени;Время;Другой мир 2: Эволюция;Тихоокеанский рубеж;Мы из будущего;Районы;Вне времени;Код 8;Хроника;Телепорт;Побеждая время;Суррогаты;Люси"
Отель «У погибшего альпиниста»;Фантастика;Детектив;Альтернативная реальность;Классика (до 2000 года);6.548;44646;;6.6;0;;"Радиоволна;Завещание профессора Доуэля;Мистериум. Начало;Шаровая молния;Бегущий по лезвию;Секретные материалы: Борьба за будущее;Назад в будущее;Назад в будущее 2;Заводной апельсин;Парк Юрского периода;Гаттака;Назад в будущее 3;Зеркало для героя;Открой глаза;Королевство кривых зеркал;Вторжение похитителей тел;Тринадцатый этаж;Куб;Мертвая зона;Чужие среди нас"
За гранью реальности;Фантастика;Ужасы;Альтернативная реальность;Классика (до 2000 года);5.845;961712;;4.5;0;;"Вторжение похитителей тел;Мертвая зона;Виктор Франкенштейн;Мерцающий;Вивариум;Куб Зеро;Морган;Парадокс Кловерфилда;Преступления будущего;Райские холмы;Чужой;Вирус;Пришельцы 2: Коридоры времени;Сквозь горизонт;Чужой 3;Чужой 4: Воскрешение;Годзилла;Газонокосильщик;Особь;Остров доктора Моро"
Изгой-Один. Звездные войны: Истории;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);7.262;840152;Rogue One;7.8;7.5;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи;Валериан и город тысячи планет"
Девятки;Фантастика;Ужасы;Постапокалипсис;Современное кино (2000–2020);6.426;259197;The Nines;6.2;6;;"28 недель спустя;Монстры;Я - легенда;Я — легенда;Эпидемия. Вонгозеро;Платформа;Птичий короб;Аннигиляция;Атака Юрского периода;Противостояние;Годзилла;Остров доктора Моро;Жизнь;Прометей;Пандорум;Чужой: Завет;Виктор Франкенштейн;Ловец снов;Лайф;Мерцающий"
Восстание планеты обезьян;Фантастика;Боевик (Экшен);Постапокалипсис;Современное кино (2000–2020);7.404;463738;Rise of the Planet of the Apes;7.6;7.2;;"Поле битвы: Земля;Район 37;2012;Люди Икс: Дни минувшего будущего;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог;Планета обезьян: Революция;Metallica: Сквозь невозможное;Голодные игры;Планета обезьян: Война;Послезавтра;Обливион;Война миров Z;Книга Илая;Сквозь снег;Бегущий в лабиринте;Дивергент;Элизиум: Рай не на Земле;Власть огня"
Аниматрица: История одного ребенка;Фантастика;Боевик (Экшен);Киберпанк;Современное кино (2000–2020);7.399;63742;Kid's Story;7.4;0;;"Апгрейд;Призрак в доспехах 2: Невинность;Аниматрица;Матрица: Перезагрузка;Алита: Боевой ангел;Матрица: Революция;Робот по имени Чаппи;Трон: Наследие;Робот;Континуум;Авалон;Робо;Матрица;Акира;Робокоп;РобоКоп;Четвертый;Призрак в доспехах;Нирвана;Джонни Мнемоник"
Прибытие;Фантастика;Драма;Альтернативная реальность;Современное кино (2000–2020);7.643;718811;Arrival;7.9;8.4;;"Донни Дарко;Господин Никто;Человек с Земли;Искусственный разум;Фонтан;Ванильное небо;Облако;Другая Земля;За гранью;Дети моря;Ева: Искусственный разум;Предчувствие;Множество;Конгресс;Жизнь за гранью;Комната желаний;Трудно быть богом;Трудно быть Богом;Источник;Индиго"
Двое во Вселенной;Фантастика;Мелодрама;Альтернативная реальность;Новинки (2020–2025);6.265;837170;La corrispondenza;6.1;5;;"Временная связь;Я создан для тебя;Четвертое желание;Фантастическая любовь и где ее найти;Два мира;Два мира;Два мира;Два мира;Два мира;Два мира;Два мира;Два мира;Последний романтик планеты Земля;Твое имя;Она;Фейерверк;Воспоминания о будущем;Жена путешественника во времени;Вечно молодой;Частоты"
Стартрек: Бесконечность;Фантастика;Приключения;Космическая;Новинки (2020–2025);6.943;734349;Star Trek Beyond;7;7;;"Звездная карта;Доктор Кто: Мужья Ривер Сонг;Путешествие на край Вселенной;Тайна третьей планеты;Аватар;Марсианин;Звездный путь 4: Дорога домой;Черная дыра;Москва — Кассиопея;Звездные врата;Звездные войны: Эпизод 1 - Скрытая угроза;Затерянные в космосе;Хан Соло. Звездные войны: Истории;Джон Картер;Через тернии к звездам;Планета бурь;Затура: Космическое приключение;Миссия на Марс;Телескоп Хаббл в 3D;Ведьмина гора"
Бюро человечества;Фантастика;Боевик (Экшен);Постапокалипсис;Современное кино (2000–2020);5.187;1012936;The Humanity Bureau;4.5;3.4;;"Поле битвы: Земля;Район 37;2012;Люди Икс: Дни минувшего будущего;Восстание планеты обезьян;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог;Планета обезьян: Революция;Metallica: Сквозь невозможное;Голодные игры;Планета обезьян: Война;Послезавтра;Обливион;Война миров Z;Книга Илая;Сквозь снег;Бегущий в лабиринте;Дивергент;Элизиум: Рай не на Земле"
Шестой день;Фантастика;Боевик (Экшен);Альтернативная реальность;Современное кино (2000–2020);6.816;579;The 6th Day;5.9;5.2;;"Начало;Район №9;День Доктора;Грань будущего;Эквилибриум;Дежавю;Вступление;Патруль времени;Хранитель времени;Время;Другой мир 2: Эволюция;Тихоокеанский рубеж;Мы из будущего;Районы;Вне времени;Код 8;Хроника;Телепорт;Побеждая время;Суррогаты"
Два мира;Фантастика;Мелодрама;Альтернативная реальность;Новинки (2020–2025);6.3;;;;;;"Временная связь;Я создан для тебя;Четвертое желание;Фантастическая любовь и где ее найти;Два мира;Два мира;Два мира;Два мира;Два мира;Два мира;Двое во Вселенной;Два мира;Последний романтик планеты Земля;Твое имя;Она;Фейерверк;Воспоминания о будущем;Жена путешественника во времени;Вечно молодой;Частоты"
Спутник;Фантастика;Ужасы;Космическая;Новинки (2020–2025);6.341;1162604;;6.4;7;;"Дальний космос;Жизнь;Чужой;Прометей;Пандорум;Вирус;Пришельцы 2: Коридоры времени;Сквозь горизонт;Чужой 3;Чужой 4: Воскрешение;Чужой: Завет;Ловец снов;Лайф;Особь;Последние дни на Марсе;Призраки Марса;Инопланетное похищение;Особь 2;Пришелец;Пришельцы"
Любовь и монстры;Фантастика;Приключения;Постапокалипсис;Новинки (2020–2025);6.75;689489;Love and Monsters;6.9;7.3;;"Мир Юрского периода: Господство;Навсикая из долины ветров;Девять;Первому игроку приготовиться;Под планетой обезьян;Планета обезьян;Аватар: Путь воды;Аватар 2: Путь воды;Стартрек: Бесконечность;Звездная карта;2067: Петля времени;Пробуждение;Гонка на вымирание;Противостояние;Воскресение;#выжить;Последняя любовь на Земле;Отроки во вселенной;Финч;Титан: После гибели Земли"
Водный мир;Фантастика;Боевик (Экшен);Постапокалипсис;Классика (до 2000 года);7.64;8165;Waterworld;6.3;5.9;;"Терминатор 2 - 3D;Терминатор;Водная жизнь;Побег из Нью-Йорка;Судья Дредд;Искатель воды;Терминатор 2: судный день;Завоевание планеты обезьян;Безумный Макс 3: Под куполом грома;Человек Омега;Киборг;Поле битвы: Земля;Район 37;2012;Гонка на вымирание;Люди Икс: Дни минувшего будущего;Восстание планеты обезьян;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог"
Дежа вю;Фантастика;Триллер;Альтернативная реальность;Современное кино (2000–2020);7.829;44394;;7.5;0;;"Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Особое мнение;Исходный код;Хранители;Пиджак;Петля времени;Меняющие реальность;Скрижали судьбы;Предел риска;Вход в никуда;Без границ;Матрица времени;ARQ;Пуленепробиваемый;Круг"
Механическая сюита;Фантастика;Триллер;Киберпанк;Современное кино (2000–2020);7.284;41608;;6.8;0;;"Бегущий по лезвию 2049;Из машины;Завод;Превосходство;Анон;Машина;Темное зеркало;Каин XVIII;Странные дни;Хакеры;Вычислитель;Звездный разум;Заговор Оберона;Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Оставленные;Мираж;Области тьмы"
Закат цивилизации;Фантастика;Боевик (Экшен);Постапокалипсис;Новинки (2020–2025);5.635;800300;Extinction;5.8;4.2;;"Гонка на вымирание;Титан: После гибели Земли;День первый;Голодные игры: Баллада о певчих птицах и змеях;Вторжение динозавра;Гренландия;Мой создатель;Новая эра Z;Черный квадрат;Небо падших;Поступь хаоса;Эра выживания;Вторжение: Битва за рай;Пустошь тьмы и зла;Следопыт;Потерянное будущее;Код апокалипсиса;Поле битвы: Земля;Район 37;Терминатор 2 - 3D"
Космос между нами;Фантастика;Мелодрама;Космическая;Современное кино (2000–2020);6.685;924990;The Space Between Us;6.4;4.3;;"Пассажиры;Орбита 9;Слияние двух лун;Твое имя;Она;Фейерверк;Воспоминания о будущем;Жена путешественника во времени;Частоты;Путешествие времени;Зои;Ремнант: все еще вижу тебя;Равные;Вверх тормашками;Интерстеллар;Доктор Кто: Мужья Ривер Сонг;Путешествие на край Вселенной;Жизнь;Звездные Войны: Войны клонов;Звездные войны: Войны клонов"
Зона 414;Фантастика;Детектив;Киберпанк;Новинки (2020–2025);6.102;1301966;Zone 414;5.1;4.3;;"Бегущий по лезвию;Марс Экспресс;Мистериум. Начало;Шаровая молния;Каин XVIII;Четвертый;Корпорация Ad Libitum;Матрица: Воскрешение;Кибер;Вычислитель;Звездный разум;Заговор Оберона;Радиоволна;Секретные материалы: Борьба за будущее;Первые на Луне;Отель «У погибшего альпиниста»;Завещание профессора Доуэля;Бегущий по лезвию 2049;Матрица;Метрополис"
Полет навигатора;Фантастика;Семейный;Космическая;Классика (до 2000 года);7.586;15285;Flight of the Navigator;6.9;6.6;;"Инопланетянин;Большое космическое путешествие;Астроскоп. Смотрим на звезды;Королевство кривых зеркал;Космическая одиссея 2010;2001 год: Космическая одиссея;Шестой элемент;Ангар 18;Ковбой Бибоп;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Звездные войны: Эпизод 6 — Возвращение Джедая;Чужие;Солярис;Чужой;Контакт;Тайна третьей планеты;Пятый элемент;Вспомнить все;Звездный путь 2: Гнев Хана"
Страна чудес;Фантастика;Драма;Альтернативная реальность;Новинки (2020–2025);4.231;842713;;4.1;0;;"00:10;Новая жизнь;Аквариум;Воспоминания из будущего;Добро пожаловать в рай;Параллельные миры;Райский проект;Параллельный мир;После нашей эры;После пробуждения;Донни Дарко;Гаттака;Прибытие;Господин Никто;Человек с Земли;Искусственный разум;Фонтан;Ванильное небо;Феномен;Хронос"
Штамм Андромеда;Фантастика;Триллер;Космическая;Классика (до 2000 года);7.118;18076;The Andromeda Strain;7.2;6.3;;"Ангар 18;Андроид;Знаки;Поколение Вояджер;Внеземное эхо;Параграф 78: Фильм первый;12 обезьян;Открой глаза;Тринадцатый этаж;Куб;Странные дни;Хакеры;Филадельфийский эксперимент;Разлом;Сфера;Темный город;Космическая одиссея 2010;2001 год: Космическая одиссея;Шестой элемент;Ковбой Бибоп"
Звездный путь 7: Поколения;Фантастика;Боевик (Экшен);Космическая;Классика (до 2000 года);6.696;3479;Star Trek: Generations;6.6;5.5;;"Шестой элемент;Ковбой Бибоп;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Звездные войны: Эпизод 6 — Возвращение Джедая;Чужие;Пятый элемент;Вспомнить все;Звездный путь 2: Гнев Хана;Звездный путь: Первый контакт;Звездный десант;День независимости;Армагеддон;Звездный путь: Возмездие;Метеор – убийца;М-Агент;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов"
